doutA mismatch. Golden: da45, Netlist: 0, Time: 49040 ns
doutB mismatch. Golden: 7603, Netlist: 0, Time: 49040 ns
doutA mismatch. Golden: fec7, Netlist: 0, Time: 49080 ns
doutB mismatch. Golden: 7846, Netlist: 0, Time: 49080 ns
doutA mismatch. Golden: fec7, Netlist: 0, Time: 49100 ns
doutB mismatch. Golden: 53fe, Netlist: 0, Time: 49120 ns
doutA mismatch. Golden: bc54, Netlist: 0, Time: 49140 ns
doutB mismatch. Golden: 53fe, Netlist: 0, Time: 49140 ns
doutB mismatch. Golden: 53fe, Netlist: 0, Time: 49160 ns
doutA mismatch. Golden: b140, Netlist: 0, Time: 49180 ns
doutB mismatch. Golden: 53fe, Netlist: 0, Time: 49180 ns
doutA mismatch. Golden: 5c2f, Netlist: 0, Time: 49220 ns
doutB mismatch. Golden: 3e6e, Netlist: 0, Time: 49220 ns
doutB mismatch. Golden: 3e6e, Netlist: 0, Time: 49240 ns
doutB mismatch. Golden: d758, Netlist: 0, Time: 49300 ns
doutA mismatch. Golden: 5f38, Netlist: 0, Time: 49320 ns
doutA mismatch. Golden: 7d45, Netlist: 0, Time: 49420 ns
doutA mismatch. Golden: 3b1d, Netlist: 0, Time: 49460 ns
doutA mismatch. Golden: 3b1d, Netlist: 0, Time: 49480 ns
doutB mismatch. Golden: 9e41, Netlist: 0, Time: 49480 ns
doutA mismatch. Golden: ba0e, Netlist: 0, Time: 49520 ns
doutA mismatch. Golden: ba0e, Netlist: 0, Time: 49540 ns
doutB mismatch. Golden: 3aa7, Netlist: 0, Time: 49540 ns
doutA mismatch. Golden: ba0e, Netlist: 0, Time: 49560 ns
doutB mismatch. Golden: 583a, Netlist: 0, Time: 49580 ns
doutA mismatch. Golden: 8ea1, Netlist: 0, Time: 49600 ns
doutA mismatch. Golden: 8ea1, Netlist: 0, Time: 49620 ns
doutA mismatch. Golden: 8ea1, Netlist: 0, Time: 49640 ns
doutA mismatch. Golden: 8ea1, Netlist: 0, Time: 49660 ns
doutB mismatch. Golden: b75b, Netlist: 0, Time: 49660 ns
doutA mismatch. Golden: 8ea1, Netlist: 0, Time: 49680 ns
doutA mismatch. Golden: 8ea1, Netlist: 0, Time: 49700 ns
doutB mismatch. Golden: cc85, Netlist: 0, Time: 49700 ns
doutB mismatch. Golden: cc85, Netlist: 0, Time: 49720 ns
doutA mismatch. Golden: 1c45, Netlist: 0, Time: 49740 ns
doutB mismatch. Golden: cc85, Netlist: 0, Time: 49740 ns
doutA mismatch. Golden: 1c45, Netlist: 0, Time: 49760 ns
doutB mismatch. Golden: cc85, Netlist: 0, Time: 49760 ns
doutA mismatch. Golden: 85b9, Netlist: 0, Time: 49800 ns
doutB mismatch. Golden: fb31, Netlist: 0, Time: 49800 ns
doutB mismatch. Golden: fb31, Netlist: 0, Time: 49820 ns
doutA mismatch. Golden: 724e, Netlist: 0, Time: 49860 ns
doutB mismatch. Golden: 3cee, Netlist: 0, Time: 49880 ns
doutA mismatch. Golden: 45c9, Netlist: 0, Time: 49900 ns
doutB mismatch. Golden: 7a32, Netlist: 0, Time: 49920 ns
doutB mismatch. Golden: 7a32, Netlist: 0, Time: 49940 ns
doutA mismatch. Golden: ea89, Netlist: 0, Time: 49980 ns
doutA mismatch. Golden: ea89, Netlist: 0, Time: 50000 ns
doutB mismatch. Golden: f3a9, Netlist: 0, Time: 50040 ns
doutA mismatch. Golden: 915d, Netlist: 0, Time: 50080 ns
doutA mismatch. Golden: 915d, Netlist: 0, Time: 50100 ns
doutB mismatch. Golden: 6eb0, Netlist: 0, Time: 50100 ns
doutA mismatch. Golden: 915d, Netlist: 0, Time: 50120 ns
doutB mismatch. Golden: 6eb0, Netlist: 0, Time: 50120 ns
doutB mismatch. Golden: ea85, Netlist: 0, Time: 50160 ns
doutA mismatch. Golden: 8b82, Netlist: 0, Time: 50180 ns
doutB mismatch. Golden: 9e41, Netlist: 0, Time: 50200 ns
doutB mismatch. Golden: 9e41, Netlist: 0, Time: 50220 ns
doutA mismatch. Golden: 1b67, Netlist: 0, Time: 50340 ns
doutA mismatch. Golden: 1b67, Netlist: 0, Time: 50360 ns
doutA mismatch. Golden: 1b67, Netlist: 0, Time: 50380 ns
doutB mismatch. Golden: 53fe, Netlist: 0, Time: 50380 ns
doutA mismatch. Golden: 1b67, Netlist: 0, Time: 50400 ns
doutA mismatch. Golden: c9dd, Netlist: 0, Time: 50440 ns
doutB mismatch. Golden: fa4c, Netlist: 0, Time: 50460 ns
doutA mismatch. Golden: 8b82, Netlist: 0, Time: 50480 ns
