Data Matched: Actual output: 4278145252, Netlist Output 4278145252, Time: 160 ns 
Data Matched: Actual output: 16863728, Netlist Output 16863728, Time: 170 ns 
Data Matched: Actual output: 16863728, Netlist Output 16863728, Time: 180 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 190 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 200 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 210 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 220 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 230 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 240 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 250 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 260 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 270 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 280 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 290 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 300 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 310 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 320 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 330 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 340 ns 
Data Mismatch: Actual output: 33444109, Netlist Output X, Time: 350 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 360 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 370 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 380 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 390 ns 
Data Mismatch: Actual output: 33468144, Netlist Output X, Time: 400 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 410 ns 
Data Mismatch: Actual output: 33444103, Netlist Output X, Time: 420 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 430 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 440 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 450 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 460 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 470 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 480 ns 
Data Mismatch: Actual output: 33468144, Netlist Output X, Time: 490 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 500 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 510 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 520 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 530 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 540 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 550 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 560 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 570 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 580 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 590 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 600 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 610 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 620 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 630 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 640 ns 
Data Mismatch: Actual output: 33444103, Netlist Output X, Time: 650 ns 
Data Mismatch: Actual output: 33468144, Netlist Output X, Time: 660 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 670 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 680 ns 
Data Mismatch: Actual output: 33468144, Netlist Output X, Time: 690 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 700 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 710 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 720 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 730 ns 
Data Mismatch: Actual output: 33444103, Netlist Output X, Time: 740 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 750 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 760 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 770 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 780 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 790 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 800 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 810 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 820 ns 
Data Mismatch: Actual output: 33468144, Netlist Output X, Time: 830 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 840 ns 
Data Mismatch: Actual output: 33444109, Netlist Output X, Time: 850 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 860 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 870 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 880 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 890 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 900 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 910 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 920 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 930 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 940 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 950 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 960 ns 
Data Mismatch: Actual output: 33468144, Netlist Output X, Time: 970 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 980 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 990 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 1000 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 1010 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 1020 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 1030 ns 
Data Mismatch: Actual output: 16863728, Netlist Output X, Time: 1050 ns 
86 comparison(s) mismatched
ERROR: SIM: Simulation Failed
FATAL: /nfs_scratch/scratch/CompilerValidation/zaheer_ahmad/os-fpga/Validation/RTL_testcases/verilog_random_designs/design197_15_15_top/results_dir/./sim/co_sim_tb/co_sim_design197_15_15_top.v:166: 
       Time: 1050000  Scope: co_sim_design197_15_15_top
ERROR: SGT: Design design197_15_15_top simulation failed!

Design design197_15_15_top simulation failed!

    while executing
"simulate gate icarus"
    (file "../raptor_tcl.tcl" line 12)
