Summary
Top-level Name,system100

Clocks
Enabled,,\clk,I/O,inf

Fabric Logic Element
Enabled,84709,,\clk,0.125,Very_High
Enabled,23447,,\clk,0.125,High
Enabled,77397,,\clk,0.125,Typical
Enabled3,,163002,\clk,0.125,Typical,0.530895

BRAM
Enabled,200,36k SDP,\clk,\clk,36,36,1.000000,0.000000,0.000000,0.500000,0.125,0.125

DSP
Enabeld,1,DSP38,\clk,0,15,0.125
Enabeld,1,DSP38,\clk,1,15,0.125
Enabeld,1,DSP38,\clk,1,18,0.125
Enabeld,2,DSP38,\clk,3,15,0.125
Enabeld,1,DSP38,\clk,3,18,0.125
Enabeld,1,DSP38,\clk,7,15,0.125
Enabeld,1,DSP38,\clk,7,18,0.125
Enabeld,1,DSP38,\clk,13,0,0.125
Enabeld,1,DSP38,\clk,13,8,0.125
Enabeld,1,DSP38,\clk,13,14,0.125
Enabeld,96,DSP38,\clk,13,15,0.125
Enabeld,95,DSP38,\clk,13,18,0.125
Enabeld,1,DSP38,\clk,20,8,0.125
Enabeld,1,DSP38,\clk,20,14,0.125
Enabeld,96,DSP38,\clk,20,15,0.125
Enabeld,100,DSP38,\clk,20,18,0.125

I/O
Enabled,\clk,1,Input,LVCMOS 1.8V (HR),2 mA,Slow,Clock,\clk
Enabled,\resetn,1,Input,LVCMOS 1.8V (HR),2 mA,Slow,SDR,\clk
Enabled,\processor_select,8,Input,LVCMOS 1.8V (HR),2 mA,Slow,SDR,\clk
Enabled,\boot_iaddr,14,Input,LVCMOS 1.8V (HR),2 mA,Slow,SDR,\clk
Enabled,\boot_idata,32,Input,LVCMOS 1.8V (HR),2 mA,Slow,SDR,\clk
